UID,Title,Rank,Stream type,Episodes,Start date,End date,Members,Score
5315,Majime ni Fumajime Kaiketsu Zorori,5315,TV ,97.0,Feb 2005 , Jan 2007,"1,413 ",6.76
5316,Majutsushi Orphen: Revenge,5316,TV ,23.0,Oct 1999 , Mar 2000,"19,039 ",6.76
5317,Marulk-chan no Nichijou,5317,Movie ,4.0,Jan 2020 , Feb 2020,"26,179 ",6.76
5318,Meitantei Conan vs. Kaitou Kid,5318,Movie ,1.0,Jan 2024 , Jan 2024,"3,182 ",6.76
5319,Monkey Punch: Manga Katsudou Daishashin,5319,TV ,12.0,Aug 2004 , Jun 2005,"2,697 ",6.76
5320,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,5320,Special ,1.0,Dec 2003 , Dec 2003,"91,630 ",6.76
5321,Natsu-iro Kiseki: 15-kaime no Natsuyasumi,5321,OVA ,1.0,Aug 2012 , Aug 2012,"7,961 ",6.76
5322,Nitian Xie Shen,5322,ONA ,94.0,Apr 2019 , Jan 2021,781 ,6.76
5323,Ojamajo Doremi OVA,5323,OVA ,3.0,2001 , 2002,"2,316 ",6.76
5324,Peter Pan no Bouken,5324,TV ,41.0,Jan 1989 , Dec 1989,"4,961 ",6.76
5325,Pokemon: Pikachu to Eevee Friends,5325,Movie ,1.0,Jul 2013 , Jul 2013,"9,962 ",6.76
5326,Quanzhi Fashi II,5326,ONA ,12.0,Sep 2017 , Dec 2017,"75,396 ",6.76
5327,Rinne no Lagrange: Kamogawa Days,5327,OVA ,1.0,Jun 2012 , Jun 2012,"9,644 ",6.76
5328,Ro-Kyu-Bu!,5328,TV ,12.0,Jul 2011 , Sep 2011,"83,001 ",6.76
5329,Robotica*Robotics,5329,OVA ,1.0,Aug 2010 , Aug 2010,"15,221 ",6.76
5330,Saint Seiya: Saishuu Seisen no Senshi-tachi,5330,Movie ,1.0,Mar 1989 , Mar 1989,"17,105 ",6.76
5331,Seiken Tsukai no World Break,5331,TV ,12.0,Jan 2015 , Mar 2015,"313,340 ",6.76
5332,Alps Monogatari: Watashi no Annette,5332,TV ,48.0,Jan 1983 , Dec 1983,"4,768 ",6.76
5333,Aoi Blink,5333,TV ,39.0,Apr 1989 , Mar 1990,"2,524 ",6.76
5334,Attack No.1,5334,TV ,104.0,Dec 1969 , Nov 1971,"10,190 ",6.76
5335,Bananya,5335,TV ,13.0,Jul 2016 , Sep 2016,"71,091 ",6.76
5336,Black Lagoon Omake,5336,Special ,7.0,Dec 2009 , Mar 2010,"65,294 ",6.76
5337,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,5337,ONA ,7.0,May 2008 , May 2009,"75,824 ",6.76
5338,Candy☆Boy: Side Story For Archive,5338,ONA ,1.0,Nov 2007 , Nov 2007,"32,458 ",6.76
5339,Chuubyou Gekihatsu Boy,5339,TV ,11.0,Oct 2019 , Dec 2019,"47,896 ",6.76
5340,City Hunter: Ryou no Propose,5340,OVA ,1.0,May 2016 , May 2016,"3,278 ",6.76
5341,Code:Realize - Sousei no Himegimi - Set a Thief to Catch a Thief,5341,OVA ,1.0,May 2018 , May 2018,"9,287 ",6.76
5342,Deatte 5-byou de Battle,5342,TV ,12.0,Jul 2021 , Sep 2021,"207,471 ",6.76
5343,Delicious Party♡Precure Movie: Yume Miru Oko-sama Lunch!,5343,Movie ,1.0,Sep 2022 , Sep 2022,"2,211 ",6.76
5344,Dirty Pair: Bouryaku no 005-bin,5344,OVA ,1.0,Jan 1990 , Jan 1990,"5,482 ",6.76
5345,Dr. Rin ni Kiitemite!,5345,TV ,51.0,Mar 2001 , Feb 2002,"4,830 ",6.76
5346,Dragon Ball Movie 1: Shen Long no Densetsu,5346,Movie ,1.0,Dec 1986 , Dec 1986,"69,763 ",6.76
5347,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,5347,Movie ,1.0,Mar 1994 , Mar 1994,"134,811 ",6.76
5348,Dungeon no Naka no Hito,5348,TV ,12.0,Jul 2024 ,,"18,343 ",6.76
5349,Future Card Buddyfight Battsu: All-Star Fight,5349,TV ,8.0,Apr 2018 , May 2018,"2,886 ",6.76
5350,Garo: Honoo no Kokuin - Home,5350,Special ,1.0,Sep 2015 , Sep 2015,"11,688 ",6.76
5351,Gegege no Kitarou (1996),5351,TV ,114.0,Jan 1996 , Mar 1998,"4,686 ",6.76
5352,Gundam Build Fighters: Battlogue,5352,ONA ,5.0,Aug 2017 , Dec 2017,"8,546 ",6.76
5353,Hanasakeru Seishounen Recaps,5353,TV Special ,3.0,Jun 2009 , Oct 2009,"4,370 ",6.76
5354,Happy☆Lesson Advance,5354,TV ,13.0,Jul 2003 , Sep 2003,"15,644 ",6.76
5355,Happy☆Lesson The Final,5355,OVA ,3.0,May 2004 , Oct 2004,"10,025 ",6.76
5356,Home!,5356,ONA ,1.0,Mar 2021 , Mar 2021,"6,235 ",6.76
5357,Imanara Maniau! Log Horizon,5357,TV Special ,1.0,Nov 2013 , Nov 2013,"20,795 ",6.76
5358,Inazuma Eleven Go Specials,5358,TV Special ,2.0,Dec 2011 , Dec 2011,"6,809 ",6.76
5359,"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",5359,ONA ,1.0,Aug 2010 , Aug 2010,"28,169 ",6.75
5360,Bastard!! Ankoku no Hakaishin Part 2 (ONA),5360,ONA ,11.0,Sep 2022 , Sep 2022,"31,880 ",6.75
5361,Black Clover: Jump Festa 2016 Special,5361,OVA ,1.0,Nov 2016 , Nov 2016,"43,595 ",6.75
5362,Blood-C: Special Edition,5362,Special ,2.0,May 2012 , May 2012,"20,143 ",6.75
5363,Blue Seed Omake,5363,Special ,14.0,Jan 1995 , Jun 1996,"3,266 ",6.75
5364,Blue Thermal,5364,Movie ,1.0,Mar 2022 , Mar 2022,"12,894 ",6.75
5365,Bubuki Buranki: Hoshi no Kyojin,5365,TV ,12.0,Oct 2016 , Dec 2016,"26,540 ",6.75
5366,Candy Boy Episode: EX01 - Mirai Yohouzu,5366,OVA ,1.0,Aug 2008 , Aug 2008,"27,415 ",6.75
5367,Captain Tsubasa: Ayaushi! Zen Nihon Jr.,5367,Movie ,1.0,Dec 1985 , Dec 1985,"5,756 ",6.75
5368,Chuunibyou demo Koi ga Shitai! Depth of Field: Ai to Nikushimi Gekijou,5368,Special ,7.0,Dec 2012 , Jun 2013,"87,581 ",6.75
5369,Dash! Yonkurou,5369,TV ,25.0,Oct 1989 , Mar 1990,"2,602 ",6.75
5370,Digimon Adventure 02: The Beginning,5370,Movie ,1.0,Oct 2023 , Oct 2023,"9,832 ",6.75
5371,Doujin Work,5371,TV ,12.0,Jul 2007 , Sep 2007,"28,701 ",6.75
5372,Fireball Charming,5372,TV ,13.0,Apr 2011 , Jun 2011,"8,454 ",6.75
5373,Gegege no Kitarou (1968),5373,TV ,65.0,Jan 1968 , Mar 1969,"5,411 ",6.75
5374,Girls & Panzer: Nihon Senshadou Renmei News,5374,Special ,2.0,Jun 2013 , Jun 2013,"5,574 ",6.75
5375,Gundam Build Fighters Try: Island Wars,5375,TV Special ,1.0,Aug 2016 , Aug 2016,"13,132 ",6.75
5376,Gundam: G no Reconguista Movie V - Shisen wo Koete,5376,Movie ,1.0,Aug 2022 , Aug 2022,"2,567 ",6.75
5377,Hanaukyou Maid-tai: La Verite,5377,TV ,12.0,Apr 2004 , Jun 2004,"24,517 ",6.75
5378,Hi no Tori: Yamato-hen,5378,OVA ,1.0,Aug 1987 , Aug 1987,"3,325 ",6.75
5379,Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,5379,Special ,1.0,Dec 2011 , Dec 2011,"57,534 ",6.75
5380,Hikari to Mizu no Daphne,5380,TV ,24.0,Jan 2004 , Jul 2004,"16,229 ",6.75
5381,Hyakka Ryouran: Samurai Girls,5381,TV ,12.0,Sep 2010 , Dec 2010,"183,758 ",6.75
5382,I My Me! Strawberry Eggs,5382,TV ,13.0,Jul 2001 , Sep 2001,"39,333 ",6.75
5383,Itoshi no Muco,5383,TV ,25.0,Oct 2015 , Mar 2016,"7,376 ",6.75
5384,Shinkansen Henkei Robo Shinkalion The Animation,5384,TV ,76.0,Jan 2018 , Jun 2019,"4,441 ",6.75
5385,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,5385,OVA ,1.0,Jan 2016 , Jan 2016,"84,878 ",6.75
5386,Shinmai Maou no Testament Departures: Maria no Hizou Eizou,5386,Special ,1.0,Mar 2018 , Mar 2018,"18,272 ",6.75
5387,Shuumatsu no Izetta,5387,TV ,12.0,Oct 2016 , Dec 2016,"179,516 ",6.75
5388,Stratos 4 Advance,5388,OVA ,6.0,Mar 2005 , Jan 2006,"3,843 ",6.75
5389,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,5389,TV ,12.0,Jul 2003 , Sep 2003,"6,656 ",6.75
5390,Sunohara-sou no Kanrinin-san,5390,TV ,12.0,Jul 2018 , Sep 2018,"152,225 ",6.75
5391,Tatsu no Ko Tarou,5391,Movie ,1.0,Mar 1979 , Mar 1979,"4,552 ",6.75
5392,Tenchi Muyou! Ryououki 2nd Season Picture Drama,5392,Special ,1.0,Sep 1995 , Sep 1995,"6,240 ",6.75
5393,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,5393,Special ,5.0,Aug 2007 , Oct 2007,"3,016 ",6.75
5394,Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,5394,TV Special ,1.0,Mar 2019 , Mar 2019,"127,162 ",6.75
5395,Viewtiful Joe,5395,TV ,51.0,Oct 2004 , Sep 2005,"12,353 ",6.75
5396,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",5396,TV ,12.0,Oct 2019 , Dec 2019,"192,305 ",6.75
5397,Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,5397,Special ,1.0,Apr 2016 , Apr 2016,"4,731 ",6.75
5398,Zettai Karen Children: Gentei Kaikin!! OVA Chou Sakidori Special!!,5398,OVA ,1.0,Apr 2010 , Apr 2010,"3,073 ",6.75
5399,Zhen Yang Wushen,5399,ONA ,14.0,Jul 2023 , Oct 2023,809 ,6.75
5400,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,5400,Movie ,1.0,Aug 1998 , Aug 1998,"13,933 ",6.75
5401,Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,5401,TV Special ,1.0,Nov 2013 , Nov 2013,"6,106 ",6.75
5402,Lupin III: Touhou Kenbunroku - Another Page,5402,TV Special ,1.0,Nov 2012 , Nov 2012,"5,678 ",6.75
5403,Magical☆Star Kanon 100%,5403,OVA ,1.0,Jun 2013 , Jun 2013,"32,287 ",6.75
5404,Manga Sarutobi Sasuke,5404,TV ,24.0,Oct 1979 , Apr 1980,"2,230 ",6.75
5405,"Maoyuu Maou Yuusha: Kono Monogatari wa, Niku dake de wa Nai no ja!",5405,TV Special ,1.0,Mar 2013 , Mar 2013,"25,856 ",6.75
5406,Masamune-kun no Revenge,5406,TV ,12.0,Jan 2017 , Mar 2017,"891,963 ",6.75
5407,Megazone 23,5407,OVA ,4.0,Mar 1985 , Dec 1989,"22,788 ",6.75
5408,Midori no Makibao,5408,TV ,61.0,Mar 1996 , Jul 1997,"2,612 ",6.75
5409,Mitsuami no Kamisama,5409,Movie ,1.0,Oct 2015 , Oct 2015,"5,279 ",6.75
5410,Munto,5410,OVA ,1.0,Mar 2003 , Mar 2003,"21,261 ",6.75
5411,Net Ghost Pipopa,5411,TV ,51.0,Apr 2008 , Mar 2009,"2,335 ",6.75
5412,One Piece: Long Ring Long Land-hen,5412,TV Special ,1.0,Dec 2015 , Dec 2015,"10,972 ",6.75
5413,Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,5413,Movie ,1.0,Jul 2003 , Jul 2003,"100,167 ",6.75
5414,Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation,5414,ONA ,1.0,Nov 2014 , Nov 2014,"10,282 ",6.75
5415,PopoloCrois,5415,TV ,26.0,Oct 2003 , Mar 2004,"2,502 ",6.75
5416,Re-Kan!,5416,TV ,13.0,Apr 2015 , Jun 2015,"61,205 ",6.75
5417,Sasuke,5417,TV ,29.0,Sep 1968 , Mar 1969,"2,579 ",6.75
5418,Shadowverse Flame: Seven Shadows-hen,5418,TV ,25.0,Jul 2023 , Dec 2023,"2,771 ",6.75
5419,Juusenki L-Gaim,5419,TV ,54.0,Feb 1984 , Feb 1985,"7,441 ",6.74
5420,Kami Kuzu☆Idol,5420,TV ,10.0,Jul 2022 , Sep 2022,"24,415 ",6.74
5421,Katsugeki/Touken Ranbu,5421,TV ,13.0,Jul 2017 , Sep 2017,"125,254 ",6.74
5422,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",5422,TV ,12.0,Oct 2023 , Dec 2023,"168,028 ",6.74
5423,Kemono no Souja Erin Recap,5423,TV Special ,10.0,Jan 2010 , Mar 2010,"2,706 ",6.74
5424,"Kono Danshi, Uchuujin to Tatakaemasu.",5424,OVA ,1.0,Oct 2011 , Oct 2011,"27,258 ",6.74
5425,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma na Hibi,5425,Special ,1.0,Jan 2006 , Jan 2006,"6,724 ",6.74
5426,Koutetsu Tenshi Kurumi,5426,TV ,24.0,Oct 1999 , Apr 2000,"25,574 ",6.74
5427,Kyoto Teramachi Sanjou no Holmes,5427,TV ,12.0,Jul 2018 , Sep 2018,"66,006 ",6.74
5428,Lupin III: Kiri no Elusive,5428,Special ,1.0,Jul 2007 , Jul 2007,"6,729 ",6.74
5429,Mamahaha no Tsurego ga Motokano datta,5429,TV ,12.0,Jul 2022 , Sep 2022,"291,167 ",6.74
5430,Mayonaka no Occult Koumuin,5430,TV ,12.0,Apr 2019 , Jun 2019,"67,687 ",6.74
5431,Meiken Jolie,5431,TV ,52.0,Apr 1981 , Jun 1982,"4,069 ",6.74
5432,Meitantei Conan: Keisatsu Gakkou-hen Wild Police Story - Case. Furuya Rei,5432,Special ,1.0,Mar 2023 , Mar 2023,"1,041 ",6.74
5433,Mini Yuri,5433,ONA ,4.0,Sep 2019 , Oct 2019,"10,892 ",6.74
5434,Monster Farm: Legend e no Michi,5434,TV ,25.0,Apr 2000 , Sep 2000,"18,657 ",6.74
5435,Nijiiro Days: Nijiiro Biyori,5435,OVA ,1.0,Sep 2016 , Sep 2016,"18,574 ",6.74
5436,Nourin,5436,TV ,12.0,Jan 2014 , Mar 2014,"193,300 ",6.74
5437,Rosario to Vampire,5437,TV ,13.0,Jan 2008 , Mar 2008,"691,246 ",6.74
5438,Sankaku Mado no Sotogawa wa Yoru,5438,TV ,12.0,Oct 2021 , Dec 2021,"48,352 ",6.74
5439,Schwarzesmarken,5439,TV ,12.0,Jan 2016 , Mar 2016,"112,663 ",6.74
5440,Ai Yori Aoshi: Yumegatari,5440,Special ,1.0,Apr 2002 , Apr 2002,"11,016 ",6.74
5441,Akame ga Kill! Recap,5441,TV Special ,1.0,Aug 2014 , Aug 2014,"39,694 ",6.74
5442,Alien 9,5442,OVA ,4.0,Jun 2001 , Feb 2002,"40,663 ",6.74
5443,Arcana Famiglia: Capriccio - stile Arcana Famiglia,5443,OVA ,1.0,Mar 2013 , Mar 2013,"22,837 ",6.74
5444,Argento Soma,5444,TV ,25.0,Oct 2000 , Mar 2001,"28,472 ",6.74
5445,Babylon,5445,TV ,12.0,Oct 2019 , Jan 2020,"157,574 ",6.74
5446,Bakuretsu Tenshi: Infinity,5446,OVA ,1.0,Mar 2007 , Mar 2007,"15,997 ",6.74
5447,Brave 10,5447,TV ,12.0,Jan 2012 , Mar 2012,"148,950 ",6.74
5448,Caramel Honey,5448,ONA ,30.0,Jun 2018 , Aug 2018,"15,901 ",6.74
5449,Chocotto Sister,5449,TV ,24.0,Jul 2006 , Dec 2006,"21,871 ",6.74
5450,Digimon Adventure: 20-shuunen Memorial Story,5450,ONA ,5.0,Nov 2019 , Dec 2020,"6,583 ",6.74
5451,Digimon Ghost Game,5451,TV ,67.0,Oct 2021 , Mar 2023,"23,617 ",6.74
5452,Eternity Memories,5452,Special ,1.0,Aug 2022 , Aug 2022,"1,166 ",6.74
5453,Gamers!,5453,TV ,12.0,Jul 2017 , Sep 2017,"657,976 ",6.74
5454,Granblue Fantasy The Animation Season 2,5454,TV ,12.0,Oct 2019 , Dec 2019,"68,596 ",6.74
5455,Gurazeni Season 2,5455,TV ,12.0,Oct 2018 , Dec 2018,"4,916 ",6.74
5456,Honoo no Alpenrose: Judy & Randy,5456,TV ,20.0,Apr 1985 , Oct 1985,"4,090 ",6.74
5457,Hua Jianghu: Bu Liang Ren IV,5457,ONA ,13.0,Apr 2021 , Jul 2021,537 ,6.74
5458,Hyakko Extra,5458,OVA ,1.0,Oct 2009 , Oct 2009,"10,307 ",6.74
5459,Ikkitousen: Dragon Destiny,5459,TV ,12.0,Feb 2007 , May 2007,"82,089 ",6.74
5460,Jewelpet Kira☆Deco!,5460,TV ,52.0,Apr 2012 , Mar 2013,"4,859 ",6.74
5461,Shin Tennis no Oujisama: U-17 World Cup,5461,TV ,13.0,Jul 2022 , Sep 2022,"15,480 ",6.74
5462,Stella no Mahou Specials,5462,Special ,2.0,Feb 2017 , Mar 2017,"4,975 ",6.74
5463,Tansu Warashi.,5463,Movie ,1.0,Mar 2011 , Mar 2011,"5,883 ",6.74
5464,Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,5464,OVA ,1.0,Mar 1994 , Mar 1994,"10,113 ",6.74
5465,Thermae Romae Specials,5465,Special ,2.0,Apr 2012 , Apr 2012,"4,228 ",6.74
5466,Utawarerumono: Tusukuru-koujo no Karei Naru Hibi,5466,OVA ,1.0,Apr 2018 , Apr 2018,"9,500 ",6.74
5467,Witch Craft Works Specials,5467,Special ,6.0,Mar 2014 , Aug 2014,"16,046 ",6.74
5468,Yama no Susume: Kabe tte Kowakunai no?,5468,Special ,1.0,May 2013 , May 2013,"23,597 ",6.74
5469,Zhen Wu Dianfeng 3rd Season,5469,ONA ,104.0,Nov 2023 ,,634 ,6.74
5470,Sora no Otoshimono Final: Eternal My Master,5470,Movie ,1.0,Apr 2014 , Apr 2014,"95,135 ",6.73
5471,Spy x Family Movie: Code: White Manner Movie,5471,Movie ,1.0,Jul 2023 , Jul 2023,"2,582 ",6.73
5472,Tantei Opera Milky Holmes: Psycho no Aisatsu,5472,TV Special ,1.0,Dec 2018 , Dec 2018,"2,049 ",6.73
5473,Teekyuu 3,5473,TV ,12.0,Oct 2013 , Dec 2013,"27,580 ",6.73
5474,Uchi no Shishou wa Shippo ga Nai,5474,TV ,13.0,Sep 2022 , Dec 2022,"25,304 ",6.73
5475,Kikaider 01 The Animation,5475,OVA ,4.0,Nov 2001 , Mar 2002,"3,392 ",6.73
5476,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,5476,Special ,1.0,Nov 1985 , Nov 1985,"1,270 ",6.73
5477,Kousoku Denjin Albegus,5477,TV ,45.0,Mar 1983 , Feb 1984,"2,409 ",6.73
5478,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,5478,Special ,3.0,Jul 2014 , Jul 2014,"12,513 ",6.73
5479,Loveless,5479,TV ,12.0,Apr 2005 , Jun 2005,"141,749 ",6.73
5480,Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,5480,TV Special ,1.0,Jul 1999 , Jul 1999,"7,892 ",6.73
5481,Maburaho,5481,TV ,24.0,Oct 2003 , Apr 2004,"98,159 ",6.73
5482,Meiken Lassie,5482,TV ,25.0,Jan 1996 , Aug 1996,"2,146 ",6.73
5483,Moyashimon: Kin Gekijou Deluxe,5483,Special ,4.0,Dec 2007 , Mar 2008,"6,299 ",6.73
5484,Nekopara,5484,TV ,12.0,Jan 2020 , Mar 2020,"174,793 ",6.73
5485,number24,5485,TV ,12.0,Jan 2020 , Apr 2020,"62,630 ",6.73
5486,Panda Kopanda,5486,Movie ,2.0,Dec 1972 , Mar 1973,"11,011 ",6.73
5487,Recorder to Randoseru,5487,OVA ,2.0,Jul 2012 , Jul 2012,"13,669 ",6.73
5488,Seikaisuru Kado,5488,TV ,12.0,Apr 2017 , Jun 2017,"108,253 ",6.73
5489,Shadowverse Flame,5489,TV ,50.0,Apr 2022 , Mar 2023,"6,363 ",6.73
5490,Shaonu Qianxian: Renxing Xiao Juchang,5490,ONA ,24.0,Jul 2019 , Dec 2019,"6,511 ",6.73
5491,Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,5491,ONA ,12.0,Jul 2022 , Oct 2022,"24,117 ",6.73
5492,1000-nen Joou: Queen Millennia,5492,Movie ,1.0,Mar 1982 , Mar 1982,"5,315 ",6.73
5493,4 Ju Aein,5493,ONA ,10.0,Apr 2023 , Apr 2023,"1,912 ",6.73
5494,Aho Girl,5494,TV ,12.0,Jul 2017 , Sep 2017,"499,731 ",6.73
5495,Ai Tenshi Densetsu Wedding Peach,5495,TV ,51.0,Apr 1995 , Mar 1996,"24,049 ",6.73
5496,Anne no Nikki,5496,Movie ,1.0,Aug 1995 , Aug 1995,"8,270 ",6.73
5497,Ao no Exorcist Movie Special,5497,Special ,1.0,Apr 2012 , Apr 2012,"38,224 ",6.73
5498,Aoki Ryuusei SPT Layzner OVA,5498,OVA ,3.0,Aug 1986 , Oct 1986,"2,576 ",6.73
5499,Araiguma Rascal,5499,TV ,52.0,Jan 1977 , Dec 1977,"3,742 ",6.73
5500,Argonavis from BanG Dream!,5500,TV ,13.0,Apr 2020 , Jul 2020,"12,088 ",6.73
5501,Arifureta Shokugyou de Sekai Saikyou Specials,5501,Special ,2.0,Dec 2019 , Feb 2020,"72,267 ",6.73
5502,Asobi ni Iku yo!: Asobi ni Oide,5502,OVA ,1.0,Jun 2011 , Jun 2011,"48,291 ",6.73
5503,Bakuten Shoot Beyblade 2002,5503,TV ,51.0,Jan 2002 , Dec 2002,"69,210 ",6.73
5504,Candy Candy: Candy no Natsu Yasumi,5504,Movie ,1.0,Jul 1978 , Jul 1978,"2,972 ",6.73
5505,Cardfight!! Vanguard (2018),5505,TV ,52.0,May 2018 , May 2019,"13,940 ",6.73
5506,Cardfight!! Vanguard: Legion Mate-hen,5506,TV ,33.0,Mar 2014 , Oct 2014,"16,841 ",6.73
5507,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama,5507,Special ,1.0,Jun 2015 , Jun 2015,"11,593 ",6.73
5508,Dragon Ball Movie 2: Majinjou no Nemurihime,5508,Movie ,1.0,Jul 1987 , Jul 1987,"66,479 ",6.73
5509,Eguo,5509,Movie ,1.0,2019 , 2019,558 ,6.73
5510,F,5510,TV ,31.0,Mar 1988 , Dec 1988,"4,138 ",6.73
5511,Fate/Grand Order: First Order,5511,TV Special ,1.0,Dec 2016 , Dec 2016,"223,026 ",6.73
5512,Fate/kaleid liner Prisma☆Illya Specials,5512,Special ,5.0,Sep 2013 , Jan 2014,"46,354 ",6.73
5513,Gakuen Handsome,5513,TV ,12.0,Oct 2016 , Dec 2016,"43,404 ",6.73
5514,Gate Keepers 21,5514,OVA ,6.0,Apr 2002 , Jan 2003,"11,066 ",6.73
5515,Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,5515,Movie ,1.0,Oct 2015 , Oct 2015,"4,399 ",6.73
5516,Hananoi-kun to Koi no Yamai,5516,TV ,12.0,Apr 2024 , Jun 2024,"91,718 ",6.73
5517,Higurashi no Naku Koro ni Sotsu,5517,TV ,15.0,Jul 2021 , Sep 2021,"113,581 ",6.73
5518,Huyao Xiao Hongniang: Yue Hong 2,5518,ONA ,1.0,Aug 2021 , Aug 2021,"1,227 ",6.73
5519,Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!,5519,Movie ,1.0,Jul 1997 , Jul 1997,"3,023 ",6.73
5520,Bio Sekai Meisaku Gekijou,5520,ONA ,3.0,Mar 2023 , Mar 2023,"1,081 ",6.72
5521,Boushoku no Berserk,5521,TV ,12.0,Oct 2023 , Dec 2023,"169,679 ",6.72
5522,Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,5522,Special ,1.0,Jun 2009 , Jun 2009,"24,317 ",6.72
5523,Candy Candy (Movie),5523,Movie ,1.0,Apr 1992 , Apr 1992,"4,256 ",6.72
5524,Daomu Biji Zhi Qinling Shen Shu,5524,ONA ,12.0,Apr 2021 , Jun 2021,"5,024 ",6.72
5525,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,5525,OVA ,2.0,Jul 1993 , Jul 1993,"50,767 ",6.72
5526,Godzilla vs. Gigan Rex,5526,ONA ,1.0,Nov 2022 , Nov 2022,351 ,6.72
5527,Hitohira,5527,TV ,12.0,Mar 2007 , Jun 2007,"20,706 ",6.72
5528,Ichiban Ushiro no Daimaou,5528,TV ,12.0,Apr 2010 , Jun 2010,"531,483 ",6.72
5529,Ikkitousen: Xtreme Xecutor,5529,TV ,12.0,Mar 2010 , Jun 2010,"51,520 ",6.72
5530,Shinmai Maou no Testament Specials,5530,Special ,6.0,Mar 2015 , Aug 2015,"47,196 ",6.72
5531,Shy,5531,TV ,12.0,Oct 2023 , Dec 2023,"61,510 ",6.72
5532,Sousei no Aquarion Evol,5532,Special ,1.0,Jul 2015 , Jul 2015,"6,804 ",6.72
5533,Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,5533,TV Special ,1.0,Dec 2017 , Dec 2017,"2,509 ",6.72
5534,Tottoko Hamtarou Hai!,5534,TV ,77.0,Apr 2006 , Mar 2008,"5,601 ",6.72
5535,Ushinawareta Mirai wo Motomete,5535,TV ,12.0,Oct 2014 , Dec 2014,"93,593 ",6.72
5536,Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,5536,Special ,1.0,Aug 2015 , Aug 2015,"9,716 ",6.72
5537,Visual Prison,5537,TV ,12.0,Oct 2021 , Dec 2021,"41,198 ",6.72
5538,Wellber no Monogatari: Sisters of Wellber Zwei,5538,TV ,13.0,Jan 2008 , Mar 2008,"5,719 ",6.72
5539,Xing Hai Qishi: Xia Ban Ji,5539,ONA ,7.0,May 2021 , Jun 2021,531 ,6.72
5540,Youjo Shenki,5540,ONA ,12.0,Jan 2017 , Apr 2017,"25,568 ",6.72
5541,Kaminaki Sekai no Kamisama Katsudou,5541,TV ,12.0,Apr 2023 , Jul 2023,"184,178 ",6.72
5542,Kidou Senkan Nadesico: The Prince of Darkness,5542,Movie ,1.0,Aug 1998 , Aug 1998,"16,953 ",6.72
5543,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen!!,5543,Movie ,1.0,Dec 2003 , Dec 2003,"1,479 ",6.72
5544,Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,5544,Special ,1.0,Sep 2012 , Sep 2012,"10,977 ",6.72
5545,Mahou Shoujo Lyrical Nanoha ViVid,5545,TV ,12.0,Apr 2015 , Jun 2015,"27,029 ",6.72
5546,Mahou Shoujo Pretty Sammy (1996),5546,TV ,26.0,Oct 1996 , Mar 1997,"8,663 ",6.72
5547,Mahoutsukai Tai! (TV),5547,TV ,13.0,Jul 1999 , Oct 1999,"12,129 ",6.72
5548,Mini Sengoku Basara Ni: Tsukiyo no Katakura-kun,5548,Special ,7.0,Oct 2010 , Apr 2011,"4,442 ",6.72
5549,Nagato Yuki-chan no Shoushitsu,5549,TV ,16.0,Apr 2015 , Jul 2015,"138,980 ",6.72
5550,Needless+: Saint Lily Gakuen no Himitsu,5550,Special ,12.0,Nov 2009 , Oct 2010,"16,575 ",6.72
